date,temp,humidity,wind_speed,meanpressure,meanrainfall,dewpoint
1/9/2024,16.65,80.5,3.14,101.52,0,12.97
1/10/2024,16.43,76.25,2.32,101.42,0,11.82
1/11/2024,16.27,80.19,3.04,101.52,0,12.54
1/12/2024,15.23,81.06,3.12,101.51,0,11.83
1/13/2024,15.44,80.44,2.74,101.47,0,11.8
1/14/2024,15.89,77.31,1.62,101.43,0,11.69
1/15/2024,16.15,79.19,1.77,101.37,0,12.19
1/16/2024,15.68,78.06,1.48,101.41,0,11.58
1/17/2024,15.83,74.31,1.19,101.41,0,10.89
1/18/2024,16.36,74.12,1.57,101.48,0.16,11.44
1/19/2024,17.48,76.38,2.17,101.49,0.24,12.94
1/20/2024,15.71,80,3.21,101.51,23.03,11.91
1/21/2024,14.55,75.81,2.8,101.51,0.04,9.86
1/22/2024,13.92,71,2.54,101.67,0,8.12
1/23/2024,14.94,75.44,2.18,101.57,0,10.19
1/24/2024,15.83,76.25,2.1,101.58,2.35,11.3
1/25/2024,16.08,72.75,2.23,101.74,0.17,10.58
1/26/2024,15.04,70.38,3.24,101.83,0.28,9.28
1/27/2024,14.64,72.62,2.67,101.79,0,9.25
1/28/2024,14.87,69.19,2.73,101.74,0,8.7
1/29/2024,16.1,66,2.21,101.66,0,9.16
1/30/2024,17.68,58.62,1.4,101.54,0,8.9
1/31/2024,19.22,66.5,1.98,101.5,0.13,12.62
2/1/2024,20.2,74.62,1.69,101.52,0.45,15.36
2/2/2024,19.94,80.12,2.71,101.35,1.02,16.08
2/3/2024,19.14,68.62,3.03,101.43,0.03,12.36
2/4/2024,18.56,57.56,1.86,101.61,0.03,9.5
2/5/2024,19.71,60.88,2,101.56,0,11.61
2/6/2024,20.05,72.19,2.05,101.52,0,14.61
2/7/2024,19.5,71.88,2.39,101.47,0,13.87
2/8/2024,17.48,54.31,2.21,101.47,0,7.36
2/9/2024,16.42,59.94,2.83,101.71,0,8.02
2/10/2024,17.55,65.62,3.01,101.72,0,10.35
2/11/2024,18.52,65.12,2.9,101.77,0,11.04
2/12/2024,19.82,57.25,2.28,101.76,0,10.53
2/13/2024,20.82,53.5,2.46,101.71,0,10.34
2/14/2024,21.65,60.81,2.12,101.55,0,13.32
2/15/2024,22.01,70.62,2.5,101.6,0.23,16.08
2/16/2024,21.49,71.69,2.97,101.58,0,15.58
2/17/2024,20.78,60.56,2.75,101.29,0.2,11.97
